표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7109610006","109610","에스와이","에스와이","SY CO., LTD.","2015/12/29","KOSDAQ","주권","중견기업부","보통주","500","48907400"
"KR7365330000","365330","에스와이스틸텍","에스와이스틸텍","SY STEEL TECH, Inc.","2023/11/13","KOSDAQ","주권","중견기업부","보통주","500","50171000"
"KR7306040007","306040","에스제이그룹","에스제이그룹","SJ Group Co., Ltd.","2019/11/18","KOSDAQ","주권","우량기업부","보통주","500","9865828"
"KR7016250003","016250","에스지씨이앤씨","SGC E&C","SGC E&C","1999/12/28","KOSDAQ","주권","중견기업부","보통주","5000","5036986"
"KR7184230001","184230","에스지에이 솔루션즈","SGA솔루션즈","SGA Solutions Co.,Ltd.","2013/12/20","KOSDAQ","주권","벤처기업부","보통주","100","88776993"
"KR7040610008","040610","에스지엔지","SG&G","SG&G Corporation","2000/04/27","KOSDAQ","주권","중견기업부","보통주","500","34087196"
"KR7255220006","255220","에스지이","SG","SG CO., LTD.","2018/01/26","KOSDAQ","주권","중견기업부","보통주","100","109205011"
"KR7398120006","398120","에스지헬스케어","에스지헬스케어","SGHEALTHCARE CO.,LTD.","2024/12/19","KOSDAQ","주권","벤처기업부","보통주","100","11818511"
"KR7472230002","472230","에스케이증권제11호기업인수목적","에스케이증권제11호스팩","SK Securities No.11 Special Purpose Acquisition Company","2024/03/04","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4155000"
"KR7473000008","473000","에스케이증권제12호기업인수목적","에스케이증권제12호스팩","SK Securities No.12 Special Purpose Acquisition Company","2024/05/07","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3310000"
"KR7473950004","473950","에스케이증권제13호기업인수목적","에스케이증권제13호스팩","SK Securities No.13 Special Purpose Acquisition Company","2024/07/25","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4420000"
"KR7475660007","475660","에스켐","에스켐","S-CHEM","2024/11/18","KOSDAQ","주권","기술성장기업부","보통주","500","7929835"
"KR7096630009","096630","에스코넥","에스코넥","S Connect Co., LTD","2007/12/26","KOSDAQ","주권","중견기업부","보통주","200","79381616"
"KR7069510006","069510","에스텍","에스텍","ESTec Corporation","2003/11/14","KOSDAQ","주권","우량기업부","보통주","500","10910000"
"KR7488280009","488280","에스투더블유","에스투더블유","S2W Inc.","2025/09/19","KOSDAQ","주권","기술성장기업부","보통주","500","10769386"
"KR7234300002","234300","에스트래픽","에스트래픽","STraffic Co., Ltd.","2017/12/05","KOSDAQ","주권","우량기업부","보통주","500","27207780"
"KR7039440003","039440","에스티아이","에스티아이","Systems Technology Incorporated","2002/02/28","KOSDAQ","주권","우량기업부","보통주","500","15507047"
"KR7098660004","098660","에스티오","에스티오","STO Co., Ltd.","2009/04/17","KOSDAQ","주권","중견기업부","보통주","500","12500976"
"KR7052020005","052020","에스티큐브","에스티큐브","STCUBE","2001/07/05","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","67983291"
"KR7237690003","237690","에스티팜","에스티팜","ST Pharm Co., Ltd.","2016/06/23","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","20836377"
"KR7458350006","458350","에스팀","에스팀","ESteem Co., Ltd.","2026/03/06","KOSDAQ","주권","중견기업부","보통주","500","8683200"
"KR7050760008","050760","에스폴리텍","에스폴리텍","S POLYTECH CO.,LTD.","2002/05/16","KOSDAQ","주권","중견기업부","보통주","500","16334678"
"KR7288620008","288620","에스퓨얼셀","에스퓨얼셀","S-Fuelcell Co., Ltd.","2018/10/15","KOSDAQ","주권","벤처기업부","보통주","500","6979316"
"KR7443670005","443670","에스피소프트","에스피소프트","SPSoft Inc.","2024/02/15","KOSDAQ","주권","중견기업부","보통주","100","24741392"
"KR7317830008","317830","에스피시스템스","에스피시스템스","SP SYSTEMS CO.,LTD.","2019/08/14","KOSDAQ","주권","벤처기업부","보통주","100","10773818"
"KR7058610007","058610","에스피지","에스피지","SPG CO., LTD","2002/07/23","KOSDAQ","주권","우량기업부","보통주","500","22177360"
"KR7043340009","043340","에쎈테크","에쎈테크","ESSEN TECH CO., LTD.","2000/08/29","KOSDAQ","주권","중견기업부","보통주","500","95000000"
"KR7163280001","163280","에어레인","에어레인","Airrane Co., Ltd.","2024/11/08","KOSDAQ","주권","기술성장기업부","보통주","100","13603078"
"KR7200710002","200710","에이디테크놀로지","에이디테크놀로지","ADTechnology Co., Ltd.","2014/12/16","KOSDAQ","주권","중견기업부","보통주","500","13440822"
"KR7475580007","475580","에이럭스","에이럭스","ALUX Co., Ltd.","2024/11/01","KOSDAQ","주권","벤처기업부","보통주","200","13624900"
"KR7096690003","096690","에이루트","에이루트","Aroot Co., Ltd.","2010/12/01","KOSDAQ","주권","중견기업부","보통주","2500","24137053"
"KR7298380007","298380","에이비엘바이오","에이비엘바이오","ABL Bio Inc.","2018/12/19","KOSDAQ","주권","기술성장기업부","보통주","500","55987463"
"KR7203400007","203400","에이비온","에이비온","ABION Inc.","2021/09/08","KOSDAQ","주권","기술성장기업부","보통주","500","90101304"
"KR7195990007","195990","에이비프로바이오","에이비프로바이오","Abpro Bio Co., Ltd.","2015/04/13","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","28468972"
"KR7003800000","003800","에이스침대","에이스침대","AceBed","1996/05/03","KOSDAQ","주권","우량기업부","보통주","1000","11090000"
"KR7088800008","088800","에이스테크놀로지","에이스테크","Ace Technologies Corp.","2006/03/27","KOSDAQ","주권","중견기업부","보통주","500","75506434"
"KR7241840008","241840","에이스토리","에이스토리","ASTORY Co., Ltd.","2019/07/19","KOSDAQ","주권","중견기업부","보통주","500","9539994"
"KR7364950006","364950","에이아이코리아","에이아이코리아","AI Korea Co., Ltd.","2025/04/29","KOSDAQ","주권","벤처기업부","보통주","500","8296445"
"KR7453860009","453860","에이에스텍","에이에스텍","ASTech Co., Ltd.","2023/11/28","KOSDAQ","주권","벤처기업부","보통주","500","6444423"
"KR7312610009","312610","에이에프더블류","에이에프더블류","A.F.W Co., Ltd","2019/07/01","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","20256888"
"KR7172670002","172670","에이엘티","에이엘티","ALT Co.,Ltd.","2023/07/27","KOSDAQ","주권","벤처기업부","보통주","500","8960259"
"KR7481070001","481070","에이유브랜즈","에이유브랜즈","AU BRANDZ Co., Ltd","2025/04/03","KOSDAQ","주권","중견기업부","보통주","100","14160000"
"KR7060900008","060900","에이전트에이아이","에이전트AI","Agent AI","2002/09/17","KOSDAQ","주권","중견기업부","보통주","500","79821468"
"KR7445090004","445090","에이직랜드","에이직랜드","ASICLAND Co.,Ltd","2023/11/13","KOSDAQ","주권","벤처기업부","보통주","500","10925658"
"KR7295310007","295310","에이치브이엠","에이치브이엠","HVM CO.,LTD.","2024/06/28","KOSDAQ","주권","기술성장기업부","보통주","500","12027291"
"KR7297890006","297890","에이치비솔루션","HB솔루션","HB SOLUTION","2020/06/22","KOSDAQ","주권","우량기업부","보통주","500","73140914"
"KR7440290005","440290","에이치비인베스트먼트","HB인베스트먼트","HB Investment, Inc.","2024/01/25","KOSDAQ","주권","중견기업부","보통주","500","27506430"
"KR7078150000","078150","에이치비테크놀러지","HB테크놀러지","HB Technology CO.,LTD.","2004/12/08","KOSDAQ","주권","우량기업부","보통주","500","92715916"
"KR7072990005","072990","에이치시티","에이치시티","HCT","2016/10/17","KOSDAQ","주권","우량기업부","보통주","500","14406206"
"KR7225530005","225530","에이치씨보광산업","HC보광산업","HC BoKwang Industry","2015/12/17","KOSDAQ","주권","우량기업부","보통주","500","36338727"
"KR7060560000","060560","에이치씨홈센타","HC홈센타","HC HomeCenter","2002/07/11","KOSDAQ","주권","중견기업부","보통주","100","126940008"
"KR7036640001","036640","에이치알에스","HRS","HRS Co., Ltd","2000/05/30","KOSDAQ","주권","우량기업부","보통주","500","16354800"
"KR7044990000","044990","에이치엔에스하이텍","에이치엔에스하이텍","H&SHigh Tech Corp.","2024/10/25","KOSDAQ","주권","기술성장기업부","보통주","500","7685425"
"KR7028300002","028300","에이치엘비","HLB","HLB INC.","1996/07/27","KOSDAQ","주권","중견기업부","보통주","500","133132504"
"KR7278650007","278650","에이치엘비바이오스텝","HLB바이오스텝","HLBbioStep","2019/11/27","KOSDAQ","주권","중견기업부","보통주","100","87161984"
"KR7067630004","067630","에이치엘비생명과학","HLB생명과학","HLB Life Science","2008/11/25","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","121917058"
"KR7187420005","187420","에이치엘비제넥스","HLB제넥스","HLB Genex","2015/05/29","KOSDAQ","주권","기술성장기업부","보통주","500","29374208"
"KR7047920004","047920","에이치엘비제약","HLB제약","HLB PHARMACEUTICAL","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","32799356"
"KR7115450009","115450","에이치엘비테라퓨틱스","HLB테라퓨틱스","HLB Therapeutics","2010/03/26","KOSDAQ","주권","중견기업부","보통주","500","88580109"
"KR7046210001","046210","에이치엘비파나진","HLB파나진","HLB PANAGENE","2000/08/16","KOSDAQ","주권","벤처기업부","보통주","500","45470654"
"KR7196300008","196300","에이치엘비펩","HLB펩","HLB Pep","2016/12/07","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","9293398"
"KR7239610009","239610","에이치엘사이언스","에이치엘사이언스","HLSCIENCE Co., LTD","2016/10/28","KOSDAQ","주권","벤처기업부","보통주","500","5392115"
"KR7036170009","036170","에이치엠넥스","에이치엠넥스","HMNEX","1999/12/21","KOSDAQ","주권","중견기업부","보통주","1000","61365626"
"KR7462020009","462020","에이치엠씨아이비제6호기업인수목적","에이치엠씨제6호스팩","HMCIB No.6 Special Purpose Acquisition Company","2023/10/13","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","4345000"
"KR7477340004","477340","에이치엠씨아이비제7호기업인수목적","에이치엠씨제7호스팩","HMCIB No.7 Special Purpose Acquisition Company","2024/06/24","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","7510000"
"KR7148930001","148930","에이치와이티씨","에이치와이티씨","HYTC CO., LTD","2022/08/09","KOSDAQ","주권","중견기업부","보통주","500","10175213"
"KR7376270005","376270","에이치이엠파마","HEM파마","HEM Pharma Inc.","2024/11/05","KOSDAQ","주권","기술성장기업부","보통주","500","7186187"
"KR7044780005","044780","에이치케이","에이치케이","HK CO., LTD.","2000/09/07","KOSDAQ","주권","벤처기업부","보통주","500","18505787"
"KR7195940002","195940","에이치케이이노엔","HK이노엔","HK inno.N Corporation","2021/08/09","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","28329891"
"KR7403870009","403870","에이치피에스피","HPSP","HPSP Co., Ltd.","2022/07/15","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","82300000"
